caption,display_url,likes,short_code,post_year,post_month
Celebrate your caffeine craving today. #NationalCoffeeDay,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/22071185_119025858773293_5802284208810360832_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2AGv2jMpgeRqF96hf-ycMEKQOMbvuvzarMDyOVPEJxPCEdCJ2muYQOIP5z9qm5Il6u-cqmHV-HOOIMIg3Eh0bZac&_nc_ohc=a3aDQOz6b3IQ7kNvgHg-bGP&_nc_gid=b00277a1ca6e4811bb6a04dfcb83a60b&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBygdvL7vlwAV117wFnYa6KOSynfdo-2Fcy6SivxaBFcQ&oe=67B870F1&_nc_sid=d885a2,1597,BZo42w0n5wR,2017,9
Happy Halloween!,https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/75362567_158065568617319_220732071345681082_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2AEp6s6McyZvkWxcxilWL9D4qakuqfxdMfjK4mf9TK5oouccIHjk6JSI1Kgz5zQ_i1I&_nc_ohc=LH4hl0-scIIQ7kNvgHZ8fRF&_nc_gid=5c781eefa79145f4a05aa54e215d2ab2&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYCc5nG8vtv3naB8kdZxZ8fOQGgTjIsXnKKcVyKNfvzRXw&oe=67B8400D&_nc_sid=d885a2,4270,B4SmSLzg0gr,2019,10
"Help melt holiday stress, a great gift to give to yourself! 💆🏽‍♀️ Save $15 through 12/12/21.  Available in warehouses and at Costco.com: Sharper Image Power Percussion Deep Tissue Massager",https://scontent-bos5-1.cdninstagram.com/v/t51.29350-15/260484162_433381551773347_5902378207664599657_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2AHcDsf43g0FrHmNpduXuJIQFYmWg7aJZrudiXj_pHGGTegyFkX-mu93txky8JIRr3xGo9GlQ6XBaJik4z-ri0eO&_nc_ohc=VjDYanb6_gsQ7kNvgGSlcOu&_nc_gid=f4aaba937e8b4cd09b41176c95e5479f&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYCdrlhn7j_kNg4sI6FrVK4oSWT3uNFItNnLYx2QEgrAAQ&oe=67B85F26&_nc_sid=d885a2,1889,CWqpoR2PVVt,2021,11
Easy to snap and store. 👍 Save $4 through 4/5/20.,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/89719913_2771005299615601_2242611979566147288_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2AE_6EACn6nt8Jx05vOFbg2zdqfGvHBiVzDDY7debHLZVtMtc0ShhQb8gi2S_9fXuPg6DTSPMeH-1OD2MAfeWn6l&_nc_ohc=nQkbA1FW5QsQ7kNvgFKEIDy&_nc_gid=8a8cd9149b33448595c66cd2e2016f88&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBUGGEnhJxKfphu1cq_RVLGeMCTRlmMCeibilONOSN5zQ&oe=67B84031&_nc_sid=d885a2,1383,B9rY6-JAkqp,2020,3
Roll out this packable blanket and have yourself a picnic. 🧺 Save $5 through 5/15/22 at Costco.com.  Available in warehouses and at Costco.com: Pendleton Packable Blanket,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/279457760_1027249628201451_8837341611412878656_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2AGLVruzwtsydKgh6VV6bOrPGIjjBav1jfiRo8rl9tyTFSCdvbuhjlCTZymKTLkeIn8&_nc_ohc=j5t90KBB-G0Q7kNvgHeUgDb&_nc_gid=8ee630d646594be4b0b14550b1aac8a9&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYC93IXomvwQPqhRWopC-rV8l49_heKTE7sZbZQ0jXXmoA&oe=67B84A36&_nc_sid=d885a2,6616,Cc_HWmEhccX,2022,4
It's a lot messier when you take it apart. Just another day for #CostcoQualityAssurance. #KirklandSignatureLasagna,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/10598668_1539072222990860_925542809_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2AFnXrgSNLcf-hGjdqTtCsNnXgTr8I0gu0QD1rGTWDmVdVhRPVGZ82mhbO_jvabkiCE&_nc_ohc=XoEOSGc0aj0Q7kNvgEOxLkx&_nc_gid=d5d467eacdba4e4bb3c201dcf959938d&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYDiesAN9DXTQQK1WnY_9jVLOz1PX53BVb_zEASscCZ0Mg&oe=67B842A2&_nc_sid=d885a2,146,sN8OS5QrPF,2014,8
Be prepared for your on-the-road adventures.,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/98161297_2583521428642427_4268465560078268903_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2AEt7t53aNVdwHfF2GC0yoNf8Ewqm7V5bUJP4IbOvqvYb6tR0WNAo2azwrPj_ks7BAI&_nc_ohc=ePzoLVjkDvYQ7kNvgECpLLi&_nc_gid=4f1867c89a8142949b55eb62e8395954&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYDvf2_LOf8htK_W4vwv_pkdy9R2lI4tLK-Bia_mBWSMSg&oe=67B85D79&_nc_sid=d885a2,7787,CAYwUGyAe9j,2020,5
"Emergency vase idea: Cut off top of bottle with scissors, fill with water and insert flower. #CostcoHack",https://instagram.fjan1-1.fna.fbcdn.net/v/t51.2885-15/12747599_1218151348214292_1965978405_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fjan1-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2AGnaDJqg21FfZDIxdY0qk0UAJFfVWxpWXYtv51sR-rW2NPAH_N2wW9EvPRbBOkKl8A&_nc_ohc=7nNHL5Szg_YQ7kNvgHFwJpX&_nc_gid=6e57e3c62f6f46f1b23c7428f2d4e30f&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYB5pCQWSbnXjrMcXfHBMh1Uya9KrDt4WZ1Qjk5XQ-Dd6Q&oe=67B84EEA&_nc_sid=d885a2,833,BBs28uYQrO5,2016,2
"The beach is calling you, and don't forget the cooler! ⛱   Available in warehouses: Titan Backpack Cooler",https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/293613168_704574980641154_6028177575072425741_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2AFg6mDh9tqnudfQahU8yBmMcwBaozALw1fhna0we2IL6Nbf3uVtKJlkmsP0C10wbxg0RwelSK4ch-9lzAsjTfze&_nc_ohc=gQjQzWfzqoUQ7kNvgElzhjp&_nc_gid=1dfc097623d9406788c8688336163de4&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYC6ZheAa128kTCPVx2wIDxJJYekrerlk7U46hfC__cs_w&oe=67B863E5&_nc_sid=d885a2,9238,Cf9lDLzjQcM,2022,7
Beautiful beaches meet ancient mythology on spectacular Crete. Experience this gorgeous Greek island with Costco Travel.,https://scontent-lga3-3.cdninstagram.com/v/t51.2885-15/19955641_149391392301520_3818305116751003648_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2AH1R7ReqW0oJjJxmbyza_lZdl871cnRLY3j06kOyVJMjNdVzTkTQjOKvGy2n6nZWHaUsSPmbeCJ6BuBwE5mPuzl&_nc_ohc=PVc7z5wjXcgQ7kNvgGnXi-Z&_nc_gid=0e7c6d41006b4ef48281feceaeb79df2&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBS5Q-EDL8zcueOEwasoXGK86y0_izIDnoNI2ZcqVyn6Q&oe=67B85D9B&_nc_sid=d885a2,853,BWgAv3WgZ9x,2017,7
